,area,mean_intensity,minor_axis_length,major_axis_length,eccentricity,extent,feret_diameter_max,equivalent_diameter_area,bbox-0,bbox-1,bbox-2,bbox-3
49,457,168.21006564551422,16.926257928484908,34.69368841598603,0.8729123000990983,0.6924242424242424,34.20526275297414,24.121991458915023,199,17,232,37
50,625,217.8944,24.62499327895847,32.37930683030831,0.6493187451971777,0.7183908045977011,32.7566787083184,28.209479177387816,199,89,229,118
51,535,189.93644859813085,22.79510500996419,29.89822909385258,0.6470786560343395,0.7753623188405797,30.59411708155671,26.099485750361293,203,51,233,74
52,205,199.18048780487806,11.210767526308505,24.802925797492538,0.8920211022698601,0.7454545454545455,25.179356624028344,16.15593100600236,214,0,239,11
53,562,215.9288256227758,26.012537698456637,27.607522591104107,0.3349766227628411,0.771978021978022,28.861739379323623,26.749964937194992,214,220,240,248
54,845,198.2958579881657,26.478859082400035,40.97728756691501,0.7631818305194142,0.7824074074074074,40.792156108742276,32.80072278626208,217,161,244,201
55,280,189.8,16.750817597358537,21.304313724910532,0.617890544650447,0.7486631016042781,22.360679774997898,18.881394877652593,223,130,245,147
56,211,185.0616113744076,14.52276229871153,18.489137571164186,0.6188929088185002,0.7814814814814814,18.973665961010276,16.39065416446578,232,39,250,54
57,78,185.23076923076923,6.028638098495415,17.579799274528927,0.9393610122507678,0.7222222222222222,18.027756377319946,9.965574970333758,248,170,254,188
58,86,183.72093023255815,5.426871023944166,21.26142656644072,0.9668764311914048,0.7818181818181819,22.0,10.464157913908982,249,117,254,139
59,51,190.4313725490196,5.032413514624027,13.742079495416709,0.9305343351231302,0.7285714285714285,14.035668847618199,8.058239062071396,249,228,254,242
60,46,175.30434782608697,3.8039817834784957,15.948714074338103,0.9711392099384112,0.7666666666666667,15.033296378372908,7.653039857325812,250,67,254,82
